user_id,policy,hit_rate,precision,recall,f1,latency_saved_ms,latency_saved_pct
33_F,GlobalMarkov2,0.9017,0.623,0.8852,0.7313,2009.44,72.73
33_F,GraphOnly,0.9119,0.6473,0.9007,0.7533,2024.0,73.25
33_F,Graph+Confidence,0.9065,0.6504,0.9003,0.7552,2016.84,72.99
33_F,GraphMindRL,0.9054,0.6694,0.8901,0.7641,2015.47,72.95
33_F,RLAdaptiveEnsemble,0.8904,0.629,0.8945,0.7386,1994.74,72.19
18_F,Random,0.498,0.0953,0.3451,0.1494,783.22,28.35
18_F,LRU,0.9505,0.187,0.5347,0.2771,1443.26,52.24
18_F,LFU,0.9505,0.5397,0.8541,0.6614,1443.26,52.24
18_F,Frequency,0.9505,0.5083,0.8379,0.6327,1443.26,52.24
18_F,RecencyFrequency,0.9505,0.4378,0.7957,0.5648,1443.26,52.24
18_F,Markov-1,0.9518,0.7535,0.9374,0.8355,1444.72,52.29
18_F,Markov-2,0.9298,0.7616,0.9342,0.8391,1412.91,51.14
18_F,VariableOrderMarkov,0.9304,0.751,0.9378,0.8341,1413.71,51.17
18_F,ContextMarkov,0.9239,0.7276,0.9303,0.8166,1404.16,50.82
18_F,ClusterMarkov,0.9083,0.7405,0.9338,0.826,1381.72,50.01
18_F,GlobalMarkov2,0.9207,0.7282,0.9254,0.815,1399.72,50.66
18_F,GraphOnly,0.9518,0.7535,0.9374,0.8355,1444.72,52.29
18_F,Graph+Confidence,0.9503,0.7573,0.9374,0.8377,1442.95,52.22
18_F,GraphMindRL,0.9527,0.7239,0.9112,0.8069,1446.46,52.35
18_F,RLAdaptiveEnsemble,0.9362,0.7438,0.9355,0.8287,1422.14,51.47
11_F,Random,0.7102,0.1466,0.462,0.2226,1522.5,55.1
11_F,LRU,0.93,0.3884,0.7579,0.5136,1839.78,66.59
11_F,LFU,0.9323,0.4548,0.8062,0.5815,1843.08,66.71
11_F,Frequency,0.933,0.4567,0.8078,0.5835,1844.19,66.75
11_F,RecencyFrequency,0.933,0.4567,0.8078,0.5835,1844.19,66.75
11_F,Markov-1,0.9345,0.5512,0.8568,0.6708,1846.39,66.83
11_F,Markov-2,0.93,0.5623,0.849,0.6766,1840.08,66.6
11_F,VariableOrderMarkov,0.9319,0.5435,0.8562,0.665,1842.68,66.69
11_F,ContextMarkov,0.9307,0.5153,0.8417,0.6393,1840.81,66.62
11_F,ClusterMarkov,0.9142,0.5393,0.8509,0.6602,1816.89,65.76
11_F,GlobalMarkov2,0.907,0.508,0.8255,0.6289,1807.56,65.42
11_F,GraphOnly,0.9345,0.5512,0.8568,0.6708,1846.39,66.83
11_F,Graph+Confidence,0.9296,0.5136,0.8375,0.6367,1839.15,66.56
11_F,GraphMindRL,0.9311,0.5222,0.8121,0.6356,1841.43,66.65
11_F,RLAdaptiveEnsemble,0.9296,0.5166,0.8424,0.6405,1839.53,66.58
14_F,Random,0.9261,0.1816,0.5259,0.2699,2271.58,82.21
14_F,LRU,0.9656,0.4216,0.6544,0.5129,2329.35,84.31
14_F,LFU,0.9656,0.2911,0.6693,0.4057,2329.35,84.31
14_F,Frequency,0.9674,0.2908,0.6722,0.406,2331.87,84.4
14_F,RecencyFrequency,0.9691,0.2977,0.6795,0.4141,2334.38,84.49
14_F,Markov-1,0.9811,0.7797,0.928,0.8474,2351.96,85.12
14_F,Markov-2,0.9828,0.7345,0.8951,0.8069,2354.47,85.21
14_F,VariableOrderMarkov,0.9759,0.2857,0.6667,0.4,2344.43,84.85
14_F,ContextMarkov,0.9708,0.2825,0.6632,0.3962,2336.89,84.58
14_F,ClusterMarkov,0.9691,0.2853,0.6611,0.3986,2334.38,84.49
14_F,GlobalMarkov2,0.9759,0.7011,0.8982,0.7875,2344.43,84.85
14_F,GraphOnly,0.9811,0.7797,0.928,0.8474,2351.96,85.12
14_F,Graph+Confidence,0.9725,0.7906,0.9285,0.854,2339.4,84.67
14_F,GraphMindRL,0.9725,0.797,0.9207,0.8544,2339.4,84.67
14_F,RLAdaptiveEnsemble,0.9742,0.2831,0.6638,0.3969,2341.91,84.76
20_M,Random,0.7535,0.1378,0.4442,0.2104,1824.89,66.05
20_M,LRU,0.8697,0.3516,0.6843,0.4645,1994.77,72.2
20_M,LFU,0.8785,0.2769,0.6548,0.3892,2007.64,72.66
20_M,Frequency,0.8451,0.2143,0.5769,0.3125,1958.73,70.89
20_M,RecencyFrequency,0.8539,0.2436,0.6169,0.3493,1971.6,71.36
20_M,Markov-1,0.8979,0.319,0.6964,0.4376,2035.95,73.69
20_M,Markov-2,0.8768,0.3912,0.6667,0.4931,2005.06,72.57
20_M,VariableOrderMarkov,0.8151,0.187,0.535,0.2772,1914.98,69.31
20_M,ContextMarkov,0.8081,0.1824,0.5273,0.271,1904.68,68.94
20_M,ClusterMarkov,0.8028,0.1758,0.5132,0.2619,1896.96,68.66
20_M,GlobalMarkov2,0.8521,0.3592,0.6422,0.4608,1969.03,71.26
20_M,GraphOnly,0.8979,0.319,0.6964,0.4376,2035.95,73.69
20_M,Graph+Confidence,0.8944,0.4775,0.8102,0.6009,2030.8,73.5
20_M,GraphMindRL,0.8908,0.5107,0.8024,0.6241,2025.65,73.31
20_M,RLAdaptiveEnsemble,0.8204,0.1861,0.5334,0.2759,1922.7,69.59
12_M,Random,0.4136,0.0879,0.3252,0.1384,791.07,28.63
12_M,LRU,0.8739,0.2261,0.5933,0.3275,1461.31,52.89
12_M,LFU,0.8729,0.3187,0.7001,0.438,1459.48,52.82
12_M,Frequency,0.8803,0.3036,0.6855,0.4209,1470.63,53.23
12_M,RecencyFrequency,0.8803,0.3036,0.6855,0.4209,1470.63,53.23
12_M,Markov-1,0.8417,0.42,0.7834,0.5469,1414.12,51.18
12_M,Markov-2,0.7829,0.414,0.7568,0.5352,1329.16,48.11
12_M,VariableOrderMarkov,0.8475,0.4353,0.794,0.5623,1422.88,51.5
12_M,ContextMarkov,0.8463,0.418,0.7822,0.5448,1420.76,51.42
12_M,ClusterMarkov,0.7671,0.3906,0.7621,0.5165,1305.17,47.24
12_M,GlobalMarkov2,0.7617,0.3763,0.7316,0.497,1298.33,46.99
12_M,GraphOnly,0.8417,0.42,0.7834,0.5469,1414.12,51.18
12_M,Graph+Confidence,0.8771,0.3854,0.7578,0.5109,1465.69,53.05
12_M,GraphMindRL,0.8794,0.3939,0.7265,0.5109,1469.09,53.17
12_M,RLAdaptiveEnsemble,0.8475,0.4165,0.7811,0.5433,1422.53,51.48
16_F,Random,0.8534,0.1694,0.5048,0.2536,2023.92,73.25
16_F,LRU,0.9345,0.6211,0.877,0.7272,2140.34,77.46
16_F,LFU,0.9353,0.6615,0.906,0.7647,2141.48,77.51
16_F,Frequency,0.9376,0.633,0.8961,0.7419,2144.75,77.62
16_F,RecencyFrequency,0.9376,0.633,0.8961,0.7419,2144.75,77.62
16_F,Markov-1,0.9446,0.6616,0.8832,0.7565,2155.01,78.0
16_F,Markov-2,0.9399,0.6725,0.8721,0.7594,2148.33,77.75
16_F,VariableOrderMarkov,0.9345,0.6226,0.8919,0.7333,2140.19,77.46
16_F,ContextMarkov,0.9259,0.5584,0.8635,0.6782,2127.8,77.01
16_F,ClusterMarkov,0.9197,0.5567,0.8626,0.6767,2118.68,76.68
16_F,GlobalMarkov2,0.9204,0.5655,0.8509,0.6794,2119.66,76.72
16_F,GraphOnly,0.9446,0.6616,0.8832,0.7565,2155.01,78.0
16_F,Graph+Confidence,0.9407,0.6547,0.879,0.7504,2149.47,77.79
16_F,GraphMindRL,0.9368,0.6689,0.8662,0.7549,2143.77,77.59
16_F,RLAdaptiveEnsemble,0.936,0.5763,0.8718,0.6939,2142.47,77.54
21_F,Random,0.6904,0.1389,0.4464,0.2119,1591.52,57.6
21_F,LRU,0.8712,0.2926,0.6628,0.4059,1850.97,66.99
21_F,LFU,0.8767,0.3024,0.6813,0.4189,1858.99,67.28
21_F,Frequency,0.8685,0.2516,0.627,0.3591,1846.97,66.85
21_F,RecencyFrequency,0.8767,0.2565,0.633,0.3651,1858.99,67.28
21_F,Markov-1,0.9096,0.3575,0.7299,0.4799,1907.51,69.04
21_F,Markov-2,0.9068,0.3791,0.6748,0.4855,1904.86,68.94
21_F,VariableOrderMarkov,0.8301,0.2396,0.6117,0.3443,1791.98,64.86
21_F,ContextMarkov,0.8384,0.2444,0.6179,0.3503,1803.45,65.27
21_F,ClusterMarkov,0.7973,0.2308,0.6,0.3333,1745.01,63.16
21_F,GlobalMarkov2,0.8356,0.3174,0.6532,0.4272,1801.17,65.19
21_F,GraphOnly,0.9096,0.3575,0.7299,0.4799,1907.51,69.04
21_F,Graph+Confidence,0.8986,0.4035,0.7616,0.5275,1890.31,68.42
21_F,GraphMindRL,0.8986,0.435,0.75,0.5507,1890.31,68.42
21_F,RLAdaptiveEnsemble,0.8301,0.2431,0.6162,0.3486,1792.53,64.88
7_F,Random,0.8398,0.1639,0.495,0.2463,1681.11,60.84
7_F,LRU,0.9602,0.517,0.8403,0.6402,1857.23,67.22
7_F,LFU,0.9602,0.6865,0.9159,0.7848,1857.23,67.22
7_F,Frequency,0.9604,0.6826,0.9149,0.7818,1857.65,67.23
7_F,RecencyFrequency,0.9604,0.6826,0.9149,0.7818,1857.65,67.23
7_F,Markov-1,0.9668,0.7642,0.9402,0.8431,1866.29,67.55
7_F,Markov-2,0.9547,0.7729,0.9356,0.8465,1848.51,66.9
7_F,VariableOrderMarkov,0.9573,0.7704,0.9438,0.8483,1852.34,67.04
7_F,ContextMarkov,0.9556,0.745,0.9359,0.8297,1849.66,66.94
7_F,ClusterMarkov,0.9461,0.7592,0.9396,0.8398,1836.05,66.45
7_F,GlobalMarkov2,0.9424,0.7457,0.9298,0.8276,1830.55,66.25
7_F,GraphOnly,0.9668,0.7642,0.9402,0.8431,1866.29,67.55
7_F,Graph+Confidence,0.9633,0.711,0.9232,0.8033,1861.9,67.39
7_F,GraphMindRL,0.9613,0.7232,0.9114,0.8065,1858.79,67.27
7_F,RLAdaptiveEnsemble,0.9564,0.7526,0.9383,0.8353,1851.02,66.99
6_M,Random,0.7778,0.1449,0.4587,0.2203,1853.54,67.08
6_M,LRU,0.9202,0.5228,0.8352,0.643,2060.39,74.57
6_M,LFU,0.9202,0.4595,0.8077,0.5857,2060.39,74.57
6_M,Frequency,0.9231,0.4558,0.8073,0.5827,2064.56,74.72
6_M,RecencyFrequency,0.9231,0.4547,0.8065,0.5815,2064.56,74.72
6_M,Markov-1,0.9487,0.5016,0.7966,0.6156,2101.34,76.05
6_M,Markov-2,0.9131,0.518,0.7824,0.6233,2049.98,74.19
6_M,VariableOrderMarkov,0.8832,0.4232,0.7858,0.5501,2007.65,72.66
6_M,ContextMarkov,0.8746,0.3854,0.7582,0.511,1994.45,72.18
6_M,ClusterMarkov,0.8718,0.4122,0.7639,0.5355,1990.99,72.06
6_M,GlobalMarkov2,0.9088,0.4461,0.767,0.5641,2045.14,74.02
6_M,GraphOnly,0.9487,0.5016,0.7966,0.6156,2101.34,76.05
6_M,Graph+Confidence,0.9316,0.5586,0.8192,0.6643,2077.05,75.17
6_M,GraphMindRL,0.9316,0.5914,0.8096,0.6835,2077.05,75.17
6_M,RLAdaptiveEnsemble,0.8803,0.3913,0.7627,0.5172,2002.78,72.49
8_M,Random,0.9498,0.1911,0.5415,0.2825,2320.72,83.99
8_M,LRU,0.9816,0.8379,0.9384,0.8853,2365.64,85.62
8_M,LFU,0.9816,0.8252,0.9576,0.8865,2365.64,85.62
8_M,Frequency,0.9816,0.8149,0.9565,0.8801,2365.64,85.62
8_M,RecencyFrequency,0.9816,0.8518,0.9664,0.9055,2365.64,85.62
8_M,Markov-1,0.9795,0.8416,0.9627,0.8981,2362.13,85.49
