phase,user_id,policy,hit_rate,precision,recall,f1,latency_saved_ms,latency_saved_pct
phase7_rl,30_F,RL_PrecisionFocus,0.9495,0.6303,0.8916,0.7385,2163.19,78.29
phase7_rl,30_F,RL_RecallFocus,0.9495,0.6303,0.8916,0.7385,2163.19,78.29
phase7_rl,30_F,RL_F1Reward,0.9518,0.6772,0.8588,0.7573,2166.54,78.41
phase7_rl,30_F,RL_LatencyFocus,0.9541,0.6873,0.8731,0.7692,2169.9,78.53
phase7_rl,9_M,RL_Threshold,0.9125,0.4913,0.7434,0.5916,2001.62,72.44
phase7_rl,9_M,RL_PrecisionFocus,0.8875,0.4145,0.76,0.5365,1965.08,71.12
phase7_rl,9_M,RL_RecallFocus,0.8875,0.4145,0.76,0.5365,1965.08,71.12
phase7_rl,9_M,RL_F1Reward,0.9125,0.4913,0.7434,0.5916,2001.62,72.44
phase7_rl,9_M,RL_LatencyFocus,0.9125,0.4809,0.7434,0.584,2001.62,72.44
phase7_rl,10_M,RL_Threshold,0.9661,0.9649,0.9565,0.9607,2404.63,87.03
phase7_rl,10_M,RL_PrecisionFocus,0.9661,0.9565,0.9565,0.9565,2404.63,87.03
phase7_rl,10_M,RL_RecallFocus,0.9661,0.9565,0.9565,0.9565,2404.63,87.03
phase7_rl,10_M,RL_F1Reward,0.9661,0.9649,0.9565,0.9607,2404.63,87.03
phase7_rl,10_M,RL_LatencyFocus,0.9661,0.9649,0.9565,0.9607,2404.63,87.03
