phase,user_id,policy,hit_rate,precision,recall,f1,latency_saved_ms,latency_saved_pct
phase3_time,29_F,TimeAwareM1_48Bucket,0.9746,0.7604,0.9054,0.8266,1775.44,64.26
phase3_time,22_M,TimeAwareM1_6Band,0.9736,0.785,0.9429,0.8567,1782.33,64.51
phase3_time,22_M,TimeAwareM1_12Band,0.9736,0.7688,0.9367,0.8445,1782.43,64.51
phase3_time,22_M,TimeAwareM1_24Hour,0.9715,0.7635,0.9334,0.84,1779.45,64.4
phase3_time,22_M,TimeAwareM1_48Bucket,0.9719,0.7522,0.9266,0.8303,1780.05,64.42
phase3_time,26_F,TimeAwareM1_6Band,0.98,0.7934,0.9405,0.8607,2322.29,84.05
phase3_time,26_F,TimeAwareM1_12Band,0.9776,0.8214,0.9416,0.8774,2318.96,83.93
phase3_time,26_F,TimeAwareM1_24Hour,0.98,0.8097,0.9405,0.8702,2322.29,84.05
phase3_time,26_F,TimeAwareM1_48Bucket,0.9832,0.8013,0.9341,0.8626,2326.97,84.22
phase3_time,23_F,TimeAwareM1_6Band,0.9167,0.611,0.8441,0.7089,1942.45,70.3
phase3_time,23_F,TimeAwareM1_12Band,0.9244,0.5841,0.8296,0.6855,1954.69,70.75
phase3_time,23_F,TimeAwareM1_24Hour,0.9283,0.5925,0.831,0.6918,1960.35,70.95
phase3_time,23_F,TimeAwareM1_48Bucket,0.9186,0.579,0.819,0.6784,1945.15,70.4
phase3_time,15_F,TimeAwareM1_6Band,0.9493,0.7579,0.9288,0.8347,2264.88,81.97
phase3_time,15_F,TimeAwareM1_12Band,0.953,0.7482,0.9214,0.8258,2270.97,82.19
phase3_time,15_F,TimeAwareM1_24Hour,0.9455,0.738,0.9109,0.8154,2259.29,81.77
phase3_time,15_F,TimeAwareM1_48Bucket,0.9468,0.7512,0.9084,0.8223,2260.68,81.82
phase3_time,1_M,TimeAwareM1_6Band,0.9604,0.5981,0.8639,0.7069,2229.36,80.69
phase3_time,1_M,TimeAwareM1_12Band,0.9515,0.577,0.8463,0.6862,2216.48,80.22
phase3_time,1_M,TimeAwareM1_24Hour,0.9471,0.5431,0.8211,0.6537,2212.22,80.07
