user_id,variant,hit_rate,precision,recall,f1,latency_saved_ms,latency_saved_pct
1_M,Graph+Confidence,0.9515,0.7102,0.9164,0.8002,2218.46,80.29
1_M,Graph+RL,0.9604,0.6718,0.8864,0.7643,2230.26,80.72
1_M,Full GraphMind,0.9559,0.7053,0.8985,0.7903,2224.9,80.52
30_F,GraphOnly,0.945,0.6182,0.889,0.7293,2156.48,78.05
30_F,Graph+Confidence,0.9495,0.6303,0.8916,0.7385,2163.19,78.29
30_F,Graph+RL,0.9495,0.6389,0.8775,0.7395,2163.19,78.29
30_F,Full GraphMind,0.9518,0.664,0.8859,0.7591,2166.54,78.41
9_M,GraphOnly,0.8875,0.343,0.7067,0.4619,1965.08,71.12
9_M,Graph+Confidence,0.8875,0.4145,0.76,0.5365,1965.08,71.12
9_M,Graph+RL,0.875,0.3763,0.7047,0.4907,1946.8,70.46
9_M,Full GraphMind,0.9125,0.444,0.7566,0.5596,2001.62,72.44
10_M,GraphOnly,0.9661,0.9167,0.9565,0.9362,2404.63,87.03
10_M,Graph+Confidence,0.9661,0.9565,0.9565,0.9565,2404.63,87.03
10_M,Graph+RL,0.9661,0.9244,0.9565,0.9402,2404.63,87.03
10_M,Full GraphMind,0.9661,0.9565,0.9565,0.9565,2404.63,87.03
