phase,user_id,policy,hit_rate,precision,recall,f1,latency_saved_ms,latency_saved_pct
phase6_graph,23_F,Graph_NodeAppTime12,0.9244,0.5841,0.8296,0.6855,1954.69,70.75
phase6_graph,23_F,Graph_Bigram,0.9205,0.6134,0.8414,0.7095,1948.63,70.53
phase6_graph,15_F,Graph_NodeApp,0.9592,0.7605,0.9374,0.8398,2279.52,82.5
phase6_graph,15_F,Graph_NodeAppTime6,0.953,0.7579,0.929,0.8348,2270.64,82.18
phase6_graph,15_F,Graph_NodeAppTime12,0.9493,0.7433,0.9199,0.8223,2265.54,82.0
phase6_graph,15_F,Graph_Bigram,0.9542,0.7669,0.9278,0.8397,2272.53,82.25
phase6_graph,1_M,Graph_NodeApp,0.9604,0.6356,0.8909,0.7419,2230.26,80.72
phase6_graph,1_M,Graph_NodeAppTime6,0.9559,0.5769,0.8546,0.6888,2222.92,80.45
phase6_graph,1_M,Graph_NodeAppTime12,0.9537,0.5471,0.833,0.6604,2219.7,80.34
phase6_graph,1_M,Graph_Bigram,0.9604,0.631,0.8616,0.7285,2230.26,80.72
phase6_graph,30_F,Graph_NodeApp,0.945,0.6182,0.889,0.7293,2156.48,78.05
phase6_graph,30_F,Graph_NodeAppTime6,0.9518,0.592,0.8671,0.7036,2166.54,78.41
phase6_graph,30_F,Graph_NodeAppTime12,0.9427,0.5392,0.8298,0.6536,2153.13,77.93
phase6_graph,30_F,Graph_Bigram,0.945,0.6328,0.8831,0.7373,2156.48,78.05
phase6_graph,9_M,Graph_NodeApp,0.8875,0.343,0.7067,0.4619,1965.08,71.12
phase6_graph,9_M,Graph_NodeAppTime6,0.9375,0.4848,0.7273,0.5818,2038.17,73.77
phase6_graph,9_M,Graph_NodeAppTime12,0.925,0.4135,0.6405,0.5026,2019.9,73.11
phase6_graph,9_M,Graph_Bigram,0.9125,0.4454,0.6974,0.5436,2001.62,72.44
phase6_graph,10_M,Graph_NodeApp,0.9661,0.9167,0.9565,0.9362,2404.63,87.03
phase6_graph,10_M,Graph_NodeAppTime6,0.9661,0.8571,0.9391,0.8963,2404.63,87.03
phase6_graph,10_M,Graph_NodeAppTime12,0.9661,0.741,0.8957,0.811,2404.63,87.03
phase6_graph,10_M,Graph_Bigram,0.9661,0.9167,0.9565,0.9362,2404.63,87.03
